Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
7,14,1.34,0.454036051,2.005292797,0.149350423,0.152358882
8,16,1.34,0.44633621,1.941240406,0.095884544,0.186018348
9,18,1.34,0.540345812,1.84888916,0.211326966,0.22762596
10,20,1.34,0.553634405,1.761437273,0.243143002,0.229381935
11,22,1.34,0.596341097,1.658968353,0.177047637,0.282507739
12,24,1.34,0.629075229,1.573596764,0.043144882,0.262800736
13,26,1.34,0.643671632,1.461875367,0.140067735,0.299261622
14,28,1.34,0.658806813,1.37812326,0.102059895,0.236183646
15,30,1.34,0.66644299,1.319024372,0.144916723,0.164881326
16,32,1.34,0.69158504,1.217724109,0.068528079,0.234783804
17,34,1.34,0.677924192,1.168600845,0.035298865,0.118043494
18,36,1.34,0.706538987,1.089189589,0.085035967,0.260746128
19,38,1.34,0.702037621,1.061124015,0.098362466,0.134036603
20,40,1.34,0.715654385,0.996020532,0.081785553,0.230059017
21,42,1.34,0.724426913,0.950535548,0.069825129,0.16421773
22,44,1.34,0.722585213,0.92798475,0.081737915,0.1709361
23,46,1.34,0.732934952,0.890328205,0.06286027,0.135706194
24,48,1.34,0.74443084,0.851864254,0.054657743,0.143208933
25,50,1.34,0.741810358,0.843718064,0.043677892,0.111749581
26,52,1.34,0.745239031,0.826779377,0.06923237,0.151722449
27,54,1.34,0.763028991,0.782849216,0.052025644,0.138632073
28,56,1.34,0.769621861,0.756863534,0.045997976,0.109127469
29,58,1.34,0.759130085,0.772542381,0.022875045,0.059429097
30,60,1.34,0.773319948,0.731530726,0.020629399,0.067337237
31,62,1.34,0.783248436,0.707079768,0.030291827,0.099042734
32,64,1.34,0.77860502,0.713094664,0.035219602,0.103518594
33,66,1.34,0.775729835,0.718359983,0.043973049,0.125029559
34,68,1.34,0.789713967,0.68183223,0.032437064,0.099566752
35,70,1.34,0.794685543,0.663406515,0.022080987,0.07755914
36,72,1.34,0.785908115,0.686976361,0.035520231,0.093496252
37,74,1.34,0.797639096,0.65468421,0.014300173,0.05006451
38,76,1.34,0.802468657,0.641238821,0.036366537,0.086400616
39,78,1.34,0.796889699,0.6543975,0.0266987,0.075320547
40,80,1.34,0.79837873,0.651481926,0.048727866,0.150741233
41,82,1.34,0.808072102,0.617637098,0.019052407,0.046534398
42,84,1.34,0.806029594,0.622805405,0.033694241,0.096605721
43,86,1.34,0.798315048,0.648341167,0.017959352,0.050232039
44,88,1.34,0.808689249,0.614360154,0.04077332,0.106682979
45,90,1.34,0.810085225,0.610373509,0.018739551,0.042185423
46,92,1.34,0.802370691,0.635975683,0.02401791,0.068281556
47,94,1.34,0.81284287,0.603496277,0.015639345,0.040239887
48,96,1.34,0.816261756,0.591305661,0.026084374,0.073399185
49,98,1.34,0.817706704,0.589027834,0.031036745,0.091489661
50,100,1.34,0.810295844,0.611451077,0.020754351,0.045530119
0,0,1.61,0.100749412,2.837459898,0.010054578,1.754711884
1,2,1.61,0.125181231,2.325276852,0.077257481,0.090591819
2,4,1.61,0.137681232,2.301415157,0.142326966,0.184121021
3,6,1.61,0.176998432,2.259108114,0.141858339,0.123473929
4,8,1.61,0.216256857,2.202799416,0.24188976,0.097642729
5,10,1.61,0.286809364,2.159799671,0.35233004,0.135106538
6,12,1.61,0.34599824,2.1067101,0.154243101,0.158038832
7,14,1.61,0.418603057,2.039361191,0.128791423,0.171815806
8,16,1.61,0.459938276,1.97273674,0.260423175,0.205316135
9,18,1.61,0.522271746,1.893260574,0.277154383,0.236484677
10,20,1.61,0.525112653,1.810645485,0.23733334,0.282510719
11,22,1.61,0.595875776,1.716130161,0.20277524,0.295332114
12,24,1.61,0.617251176,1.617944551,0.266838551,0.338438934
13,26,1.61,0.61256367,1.526904392,0.254723637,0.36401519
14,28,1.61,0.664860892,1.422887301,0.128239585,0.350025149
